sector,stage1,stage2,stage3,stockName,stockCode
섀시,"조향, 제동, 현가 장치",,,"HL만도, 우수AMS, 오스템, KB오토시스, 새론오토모티브, 화신, 상신브레이크, 화신정공, DH오토리드","HL만도 (204320), 우수AMS (066590), 오스템 (031510), KB오토시스 (024120), 새론오토모티브 (075180), 화신 (010690), 상신브레이크 (041650), 화신정공 (126640), DH오토리드 (290120)"
전자 장치,,,,"한국단자, 아이에이, 에코캡, 오비고, 이지트로닉스, 엣지파운드리, 모베이스전자, 영화테크, 모베이스, 에스오에스랩, 삼현, 인팩, 티메이치엔, 라닉스, 미디어젠, 스마트레이더시스템, 탑런토탈솔루션","한국단자 (025540), 아이에이 (038880), 에코캡 (128540), 오비고 (352910), 이지트로닉스 (377330), 엣지파운드리 (105550), 모베이스전자 (012860), 영화테크 (265560), 모베이스 (101330), 에스오에스랩 (464080), 삼현 (437730), 인팩 (023810), 티메이치엔, 라닉스 (317120), 미디어젠 (279600), 스마트레이더시스템 (424960), 탑런토탈솔루션 (336680)"
공조 장치,,,,"한온시스템, 우리산업, 삼성공조, 폴라리스세원, 아진전자부품, 성창오토텍","한온시스템 (018880), 우리산업 (215360), 삼성공조 (006660), 폴라리스세원 (234100), 아진전자부품 (009320), 성창오토텍 (080470)"
인포테인먼트,음향,,,"에스텍, DH오토웨어","에스텍 (069510), DH오토웨어 (025440)"
인포테인먼트,영상,,,"팅크웨어, 모트렉스, 유비벨록스, 모바일어플라이언스, 파인디지털, 백금T8A","팅크웨어 (084730), 모트렉스 (118990), 유비벨록스 (089850), 모바일어플라이언스 (087260), 파인디지털 (038950), 백금T8A"
기타 ,,,,"세방전지, 대원강업, SJG세종, 삼원강재, SJM, 코리아에프티, 구영테크, 영화금속, 디젠스, 대성파인텍, 와이엠, 서연탑메탈, 태양금속, 팬스타엔터프라이즈, 풍강","세방전지 (004490), 대원강업 (000430), SJG세종 (033530), 삼원강재 (023000), SJM (123700), 코리아에프티 (123410), 구영테크 (053270), 영화금속 (012280), 디젠스 (113810), 대성파인텍 (104040), 와이엠 (007530), 서연탑메탈 (019770), 태양금속 (004100), 팬스타엔터프라이즈 (054300), 풍강 (093380)"
제조사,,,,"현대차, 기아, KG모빌리티 ","현대차 (005380), 기아 (000270), KG모빌리티 (003620)"
전기차 ,배터리 ,배터리 제조사 ,,"LG에너지솔루션, 삼성SDI, SK이노베이션 ","LG에너지솔루션 (373220), 삼성SDI (006400), SK이노베이션 (096770)"
전기차 ,배터리 ,소재 ,양극재,"에코프로비엠, 에코프로머티, 엘앤에프, 코스모신소재, 대보마그네틱, 에코앤드림, DI동일, 삼아알미늄","에코프로비엠 (247540), 에코프로머티 (450080), 엘앤에프 (066970), 코스모신소재 (005070), 대보마그네틱 (290670), 에코앤드림 (101360), DI동일 (001530), 삼아알미늄 (006110)"
전기차 ,배터리 ,소재 ,음극재 ,"포스코퓨처엠, 대주전자재료, 나노신소재, 롯데에너지머티리얼즈, 솔루스첨단소재","포스코퓨처엠 (003670), 대주전자재료 (078600), 나노신소재 (121600), 롯데에너지머티리얼즈 (020150), 솔루스첨단소재 (336370)"
